ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
1,1,11,1672326000000,1672403400000,1.0,-2759.0,-5.0,true,3190.0,40.0,47241.0,false,false,false,2817.1,2789.6,true,false,4.0,2,2,2807.1,2851.7,-1
8,1,11,1672734780000,1672749000000,1.0,-2779.0,-5.0,true,4410.0,1580.0,44462.0,false,false,false,2820.8,2793.1,true,false,4.0,2,2,2810.8,2855.4,-1
21,1,11,1673017200000,1673017200000,1.0,281.0,-5.0,true,0.0,330.0,44743.0,false,false,false,2861.2,2864.1,true,false,4.0,0,16,2851.2,2895.8,-1
26,1,11,1673357580000,1673448960000,1.0,3451.0,-5.0,true,830.0,3460.0,48194.0,false,false,false,2884.3,2918.9,true,false,4.0,3,3,2874.3,2918.9,-1
35,1,11,1673449200000,1673614980000,1.0,3451.0,-5.0,true,1130.0,3460.0,51645.0,false,false,false,2918.8,2953.4,true,false,4.0,4,3,2908.8,2953.4,-1
46,1,11,1673622000000,1673622000000,1.0,-39.0,-5.0,true,110.0,10.0,51606.0,false,false,false,2954.6,2954.3,true,false,4.0,0,16,2944.6,2989.2,-1
54,1,11,1674030660000,1674045000000,1.0,-2689.0,-5.0,true,3670.0,1920.0,48917.0,false,false,false,2955.5,2928.7,true,false,4.0,2,2,2945.5,2990.1,-1
61,1,11,1674468300000,1674549120000,1.0,-1009.0,-5.0,true,1000.0,1550.0,47908.0,false,false,false,2954.3,2944.3,true,false,4.0,3,2,2944.3,2988.9,-1
76,1,11,1674745200000,1674831600000,1.0,961.0,-5.0,true,1010.0,1920.0,48869.0,false,false,false,2979.3,2989.0,true,false,4.0,3,16,2969.3,3013.9,-1
85,1,11,1675254600000,1675263600000,1.0,4641.0,-5.0,true,850.0,6690.0,53510.0,false,false,false,3016.2,3062.7,true,false,4.0,2,3,3006.2,3050.8,-1
92,1,11,1675341000000,1675413060000,1.0,-2329.0,-5.0,true,2350.0,900.0,51181.0,false,false,false,3098.9,3075.7,true,false,4.0,2,2,3088.9,3133.5,-1
207,2,11,1696338180000,1696430160000,1.0,-1909.0,-5.0,true,1900.0,1270.0,49272.0,false,false,false,2721.0,2740.0,false,true,4.0,3,2,2740.0,2673.5,-1
219,2,11,1697722560000,1697814000000,1.0,3501.0,-5.0,true,80.0,3720.0,52773.0,false,false,false,2721.0,2685.9,false,true,4.0,4,16,2740.0,2673.5,-1
260,1,11,1703667180000,1703682060000,1.0,-1009.0,-5.0,true,1140.0,360.0,51764.0,false,false,false,3098.1,3088.1,true,false,4.0,2,2,3088.1,3132.7,-1
267,1,11,1703755320000,1703766600000,1.0,-1039.0,-5.0,true,1570.0,100.0,50725.0,false,false,false,3096.0,3085.7,true,false,4.0,2,2,3086.0,3130.6,-1
