ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
4,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2
11,1,11,1682928000000,1682942400000,5.0,-348.0,-10.0,true,409.28003,0.0,49296.3,false,false,false,13259.987,13226.587,true,false,4.0,2
33,1,11,1683734400000,1683748800000,5.0,429.7,-10.0,true,1035.12,791.2,49726.0,false,false,false,13305.879,13350.25,true,false,4.0,2
38,1,11,1683777600000,1683804000000,5.0,-264.7,-10.0,true,250.69,297.80002,49461.3,false,false,false,13371.319,13346.25,true,false,4.0,2
48,1,11,1683864000000,1683894120000,5.0,-262.97,-10.0,true,248.97,113.62,49198.324,false,false,false,13421.397,13396.5,true,false,4.0,3
63,1,11,1684244520000,1684267200000,5.0,-26.5,-10.0,true,318.71,707.59,49171.824,false,false,false,13428.5,13427.25,true,false,4.0,3
76,1,11,1684387020000,1684418400000,5.0,698.5,-10.0,true,176.70999,712.5,49870.324,false,false,false,13587.75,13659.0,true,false,4.0,3
85,1,11,1684425600000,1684440000000,5.0,642.92,-10.0,true,688.5,758.38,50513.25,false,false,false,13771.559,13837.25,true,false,4.0,2
90,1,11,1684468800000,1684483380000,5.0,-264.0,-10.0,true,414.31,8.389999,50249.25,false,false,false,13875.0,13850.0,true,false,4.0,2
109,1,11,1685016180000,1685031780000,5.0,698.5,-10.0,true,829.31,712.5,50947.75,false,false,false,13888.75,13960.0,true,false,4.0,2
116,1,11,1685102400000,1685116800000,5.0,2560.8,-10.0,true,518.10004,2723.1,53508.55,false,false,false,13990.259,14247.739,true,false,4.0,2
123,1,11,1685340900000,1685352300000,5.0,-264.0,-10.0,true,250.0,153.87,53244.55,false,false,false,14377.0,14352.0,true,false,4.0,2
130,1,11,1685430540000,1685437680000,5.0,698.5,-10.0,true,206.01,712.5,53943.05,false,false,false,14377.0,14448.25,true,false,4.0,2
137,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,53209.75,false,false,false,14491.327,14419.397,true,false,4.0,2
153,1,11,1685696160000,1685709000000,5.0,-264.0,-10.0,true,250.0,380.99,52945.75,false,false,false,14491.0,14466.0,true,false,4.0,2
