ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
7,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2,2,13128.75,13232.5,-1
14,1,11,1682909220000,1682928420000,5.0,-84.0,-10.0,true,70.0,395.49,49560.3,false,false,false,13249.25,13242.25,true,false,4.0,3,2,13224.25,13328.0,-1
52,1,11,1683734400000,1683791160000,5.0,774.7,-10.0,true,1035.12,791.2,50335.0,false,false,false,13305.879,13384.75,true,false,4.0,4,3,13280.879,13384.75,-1
66,1,11,1683792000000,1683806400000,5.0,-265.3,-10.0,true,377.3,217.4,50069.7,false,false,false,13379.359,13354.229,true,false,4.0,2,2,13354.359,13458.0,-1
73,1,11,1683849600000,1683875400000,5.0,80.82,-10.0,true,17.4,387.8,50150.523,false,false,false,13394.269,13403.75,true,false,4.0,2,2,13369.269,13473.0,-1
81,1,11,1683879840000,1683894120000,5.0,-264.0,-10.0,true,250.0,115.09,49886.523,false,false,false,13421.25,13396.25,true,false,4.0,2,2,13396.25,13500.0,-1
103,1,11,1684244520000,1684258080000,5.0,426.0,-10.0,true,318.71,707.59,50312.523,false,false,false,13428.5,13472.5,true,false,4.0,2,2,13403.5,13507.25,-1
123,1,11,1684387020000,1684418760000,5.0,773.5,-10.0,true,176.70999,787.5,51086.023,false,false,false,13587.75,13666.5,true,false,4.0,3,3,13562.75,13666.5,-1
134,1,11,1684425600000,1684447200000,5.0,772.92,-10.0,true,688.5,786.91003,51858.95,false,false,false,13771.559,13850.25,true,false,4.0,2,3,13746.559,13850.25,-1
142,1,11,1684454400000,1684476120000,5.0,-263.6,-10.0,true,249.59,125.9,51595.35,false,false,false,13875.209,13850.25,true,false,4.0,2,2,13850.209,13954.0,-1
155,1,11,1684800000000,1684825020000,5.0,-263.37,-10.0,true,249.37,338.62,51331.977,false,false,false,13888.937,13864.0,true,false,4.0,2,2,13863.937,13967.75,-1
168,1,11,1685016180000,1685037600000,5.0,773.5,-10.0,true,829.31,787.5,52105.477,false,false,false,13888.75,13967.5,true,false,4.0,2,3,13863.75,13967.5,-1
179,1,11,1685102400000,1685113200000,5.0,2340.9,-10.0,true,518.10004,2403.48,54446.375,false,false,false,13990.259,14225.75,true,false,4.0,1,16,13965.259,14069.0,-1
184,1,11,1685116800000,1685132040000,5.0,773.6,-10.0,true,72.0,818.1,55219.977,false,false,false,14247.989,14326.75,true,false,4.0,2,3,14222.989,14326.75,-1
192,1,11,1685318400000,1685332920000,5.0,-264.48,-10.0,true,304.78,283.5,54955.5,false,false,false,14377.547,14352.5,true,false,4.0,2,2,14352.547,14456.25,-1
202,1,11,1685430540000,1685437920000,5.0,773.5,-10.0,true,206.01,787.5,55729.0,false,false,false,14377.0,14455.75,true,false,4.0,2,3,14352.0,14455.75,-1
210,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,54995.7,false,false,false,14491.327,14419.397,true,false,4.0,2,2,14466.327,14570.0,-1
235,1,11,1685696160000,1685708220000,5.0,66.0,-10.0,true,11.91,380.99,55061.7,false,false,false,14491.0,14499.0,true,false,4.0,2,2,14466.0,14569.75,-1
243,1,11,1685971860000,1685980800000,5.0,817.5,-10.0,true,68.41,1011.99,55879.2,false,false,false,14556.5,14639.649,true,false,4.0,2,3,14531.5,14635.25,-1
272,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,55615.2,false,false,false,14639.0,14614.0,true,false,4.0,2,2,14614.0,14717.75,-1
279,1,11,1686585600000,1686600000000,5.0,1350.92,-10.0,true,195.58,1382.92,56966.125,false,false,false,14655.657,14792.149,true,false,4.0,2,3,14630.657,14734.5,-1
287,1,11,1686614400000,1686642300000,5.0,773.5,-10.0,true,88.2,787.51,57739.625,false,false,false,14806.249,14885.0,true,false,4.0,2,3,14781.249,14885.0,-1
295,1,11,1686643200000,1686657600000,5.0,-513.6,-10.0,true,580.2,181.29999,57226.023,false,false,false,14865.169,14815.209,true,false,4.0,2,2,14840.169,14944.0,-1
302,1,11,1686686400000,1686720600000,5.0,-130.77,-10.0,true,116.770004,186.72,57095.25,false,false,false,14900.927,14889.25,true,false,4.0,3,2,14875.927,14979.75,-1
313,1,11,1686745800000,1686758640000,5.0,193.5,-10.0,true,847.41,798.89,57288.75,false,false,false,14940.5,14961.25,true,false,4.0,2,2,14915.5,15019.25,-1
321,1,11,1686787200000,1686805380000,5.0,-264.17,-10.0,true,483.0,48.0,57024.574,false,false,false,15018.019,14993.0,true,false,4.0,2,2,14993.019,15096.75,-1
328,1,11,1686859200000,1686874020000,5.0,-264.7,-10.0,true,260.7,67.8,56759.875,false,false,false,15189.319,15164.25,true,false,4.0,2,2,15164.319,15268.0,-1
