ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade,close_type,stop_loss,take_profit,exit_index
4,1,11,1682660280000,1682668800000,5.0,-355.7,-10.0,true,515.41003,26.49,49644.3,false,false,false,13153.75,13119.579,true,false,4.0,2,2,13128.75,13232.5,-1
11,1,11,1682928000000,1682942400000,5.0,-348.0,-10.0,true,409.28003,0.0,49296.3,false,false,false,13259.987,13226.587,true,false,4.0,2,2,13234.987,13338.75,-1
33,1,11,1683734400000,1683748800000,5.0,429.7,-10.0,true,1035.12,791.2,49726.0,false,false,false,13305.879,13350.25,true,false,4.0,2,17,13280.879,13384.75,-1
38,1,11,1683777600000,1683803700000,5.0,-187.2,-10.0,true,173.19,297.80002,49538.8,false,false,false,13371.319,13354.0,true,false,4.0,2,2,13346.319,13450.0,-1
49,1,11,1683864000000,1683894120000,5.0,-262.97,-10.0,true,248.97,113.62,49275.824,false,false,false,13421.397,13396.5,true,false,4.0,3,2,13396.397,13500.25,-1
64,1,11,1684244520000,1684260420000,5.0,351.0,-10.0,true,318.71,707.59,49626.824,false,false,false,13428.5,13465.0,true,false,4.0,2,2,13403.5,13507.25,-1
78,1,11,1684387020000,1684418760000,5.0,773.5,-10.0,true,176.70999,787.5,50400.324,false,false,false,13587.75,13666.5,true,false,4.0,3,3,13562.75,13666.5,-1
89,1,11,1684425600000,1684440000000,5.0,642.92,-10.0,true,688.5,758.38,51043.25,false,false,false,13771.559,13837.25,true,false,4.0,2,17,13746.559,13850.25,-1
94,1,11,1684468800000,1684483380000,5.0,-264.0,-10.0,true,414.31,8.389999,50779.25,false,false,false,13875.0,13850.0,true,false,4.0,2,2,13850.0,13953.75,-1
113,1,11,1685016180000,1685037600000,5.0,773.5,-10.0,true,829.31,787.5,51552.75,false,false,false,13888.75,13967.5,true,false,4.0,2,3,13863.75,13967.5,-1
121,1,11,1685102400000,1685116800000,5.0,2560.8,-10.0,true,518.10004,2723.1,54113.55,false,false,false,13990.259,14247.739,true,false,4.0,2,3,13965.259,14069.0,-1
129,1,11,1685340900000,1685352300000,5.0,-264.0,-10.0,true,250.0,153.87,53849.55,false,false,false,14377.0,14352.0,true,false,4.0,2,2,14352.0,14455.75,-1
136,1,11,1685430540000,1685437920000,5.0,773.5,-10.0,true,206.01,787.5,54623.05,false,false,false,14377.0,14455.75,true,false,4.0,2,3,14352.0,14455.75,-1
144,1,11,1685448000000,1685462400000,5.0,-733.3,-10.0,true,1301.88,385.7,53889.75,false,false,false,14491.327,14419.397,true,false,4.0,2,2,14466.327,14570.0,-1
160,1,11,1685696160000,1685709000000,5.0,-9.0,-10.0,true,11.91,380.99,53880.75,false,false,false,14491.0,14491.5,true,false,4.0,2,2,14466.0,14569.75,-1
168,1,11,1685971860000,1685980800000,5.0,817.5,-10.0,true,68.41,1011.99,54698.25,false,false,false,14556.5,14639.649,true,false,4.0,2,3,14531.5,14635.25,-1
185,1,11,1686561060000,1686571260000,5.0,-264.0,-10.0,true,521.11,0.0,54434.25,false,false,false,14639.0,14614.0,true,false,4.0,2,2,14614.0,14717.75,-1
192,1,11,1686585600000,1686600000000,5.0,1351.93,-10.0,true,195.58,1382.92,55786.176,false,false,false,14655.657,14792.25,true,false,4.0,2,17,14630.657,14734.5,-1
197,1,11,1686628800000,1686651420000,5.0,-118.78,-10.0,true,104.79,357.8,55667.4,false,false,false,14850.229,14839.75,true,false,4.0,2,2,14825.229,14929.0,-1
205,1,11,1686659400000,1686680820000,5.0,-264.0,-10.0,true,984.81006,888.49,55403.4,false,false,false,14864.75,14839.75,true,false,4.0,2,2,14839.75,14943.5,-1
212,1,11,1686726660000,1686739920000,5.0,73.5,-10.0,true,19.71,456.37,55476.9,false,false,false,14906.75,14915.5,true,false,4.0,2,2,14881.75,14985.5,-1
220,1,11,1686745800000,1686758700000,5.0,118.5,-10.0,true,847.41,798.89,55595.4,false,false,false,14940.5,14953.75,true,false,4.0,2,2,14915.5,15019.25,-1
252,1,11,1688371500000,1688385600000,5.0,-421.6,-10.0,true,424.71002,130.69,55173.8,false,false,false,15216.0,15175.239,true,false,4.0,2,2,15191.0,15294.75,-1
265,1,11,1688751000000,1688760000000,5.0,-1779.0,-10.0,true,1874.2101,0.89,53394.8,false,false,false,15216.0,15039.5,true,false,4.0,2,17,15191.0,15294.75,-1
270,1,11,1689165000000,1689182460000,5.0,773.5,-10.0,true,146.21,1488.99,54168.3,false,false,false,15216.0,15294.75,true,false,4.0,2,3,15191.0,15294.75,-1
278,1,11,1689220800000,1689251400000,5.0,774.23,-10.0,true,126.4,788.20996,54942.523,false,false,false,15359.429,15438.25,true,false,4.0,3,3,15334.429,15438.25,-1
289,1,11,1689264000000,1689278400000,5.0,736.4,-10.0,true,61.7,1100.7,55678.926,false,false,false,15494.459,15569.5,true,false,4.0,2,17,15469.459,15573.25,-1
