ticket,type,sample,open_time,close_time,size,pl,commission_swap,commission_applied,mae,mfe,balance,is_balance,is_canceled,is_pending,open_price,close_price,is_long,is_short,slippage_money,bars_in_trade
7,2,11,1676026800000,1676041860000,3.0,-235.0,-6.0,true,225.00452,181.377,49765.0,false,false,false,33634.996,33785.0,false,true,4.0,5
26,2,11,1677171600000,1677179640000,3.0,-234.64,-6.0,true,224.6445,50.175003,49530.36,false,false,false,32827.24,32977.0,false,true,4.0,3
50,1,11,1677866400000,1677870000000,4.0,-34.54,-8.0,true,30.1,59.456,49495.82,false,false,false,33286.27,33275.0,true,false,4.0,2
63,2,11,1678388400000,1678392000000,3.0,191.33,-6.0,true,33.855,206.98502,49687.15,false,false,false,32536.219,32402.0,false,true,4.0,2
68,2,11,1678474800000,1678474800000,3.0,-91.37,-6.0,true,88.518005,3.027,49595.773,false,false,false,31816.746,31871.0,false,true,4.0,0
73,2,11,1678699800000,1678705080000,3.0,-235.0,-6.0,true,225.0,167.9265,49360.773,false,false,false,31817.0,31967.0,false,true,4.0,2
95,1,11,1680116400000,1680120000000,4.0,82.54,-8.0,true,76.98,117.14,49443.316,false,false,false,32672.729,32720.0,true,false,4.0,2
118,2,11,1682442780000,1682452800000,3.0,173.0,-6.0,true,2.9984999,203.6865,49616.316,false,false,false,33660.0,33538.0,false,true,4.0,4
127,2,11,1682521200000,1682539200000,3.0,173.38,-6.0,true,217.875,290.98502,49789.69,false,false,false,33424.25,33302.0,false,true,4.0,6
143,1,11,1682694000000,1682708400000,4.0,185.48,-8.0,true,152.06,334.48,49975.17,false,false,false,33920.258,34019.0,true,false,4.0,5
190,2,11,1684866300000,1684872000000,3.0,-88.0,-6.0,true,183.4005,6.3164997,49887.17,false,false,false,33009.0,33061.0,false,true,4.0,3
203,2,11,1685034060000,1685037600000,3.0,-243.57,-6.0,true,233.5635,28.141499,49643.605,false,false,false,32627.0,32782.71,false,true,4.0,2
222,1,11,1685714400000,1685732400000,4.0,730.46,-8.0,true,67.1,751.04,50374.066,false,false,false,33421.77,33793.0,true,false,4.0,6
263,1,11,1687361700000,1687376340000,4.0,-262.0,-8.0,true,250.0,54.994,50112.066,false,false,false,34072.0,33947.0,true,false,4.0,5
